Gene,Chromosome (NC_*),Nucleotide Location(start),Nucleotide Location(end),Strand
WBGene00000005,NC_003282.8,6275721,6277721,-
WBGene00000024,NC_003283.11,10381826,10383826,-
WBGene00000043,NC_003284.9,6707538,6709538,+
WBGene00000062,NC_003283.11,3659572,3661572,-
WBGene00000081,NC_003281.10,298556,300556,-
WBGene00000100,NC_003284.9,9080946,9082946,+
WBGene00000138,NC_003279.8,12764960,12766960,-
WBGene00000157,NC_003284.9,4456272,4458272,+
WBGene00000176,NC_003284.9,4704977,4706977,-
WBGene00000195,NC_003284.9,948782,950782,+
WBGene00000214,NC_003283.11,19050752,19052752,-
WBGene00000233,NC_003283.11,13511718,13513718,-
WBGene00000252,NC_003280.10,5652434,5654434,-
WBGene00000271,NC_003280.10,7303858,7305858,+
WBGene00000366,NC_003281.10,9764509,9766509,+
WBGene00000423,NC_003281.10,10333172,10335172,+
WBGene00000442,NC_003282.8,7955949,7957949,-
WBGene00000461,NC_003284.9,12320777,12322777,-
WBGene00000480,NC_003283.11,122789,124789,-
WBGene00000499,NC_003283.11,19916023,19918023,-
WBGene00000518,NC_003281.10,5633479,5635479,+
WBGene00000537,NC_003281.10,7518524,7520524,-
WBGene00000556,NC_003283.11,1450183,1452183,-
WBGene00000594,NC_003282.8,8822783,8824783,+
WBGene00000613,NC_003280.10,7168812,7170812,-
WBGene00000632,NC_003279.8,6197673,6199673,+
WBGene00000651,NC_003280.10,6424293,6426293,+
WBGene00000670,NC_003281.10,11701994,11703994,+
WBGene00000689,NC_003282.8,7986685,7988685,+
WBGene00000708,NC_003282.8,15131797,15133797,-
WBGene00000727,NC_003283.11,11383360,11385360,+
WBGene00000746,NC_003284.9,6877536,6879536,-
WBGene00000765,NC_003281.10,7858457,7860457,-
WBGene00000784,NC_003283.11,6612674,6614674,+
WBGene00000803,NC_003284.9,15865918,15867918,-
WBGene00000822,NC_003284.9,14682877,14684877,+
WBGene00000841,NC_003282.8,12590451,12592451,-
WBGene00000860,NC_003283.11,4842644,4844644,-
WBGene00000879,NC_003283.11,15187927,15189927,+
WBGene00000898,NC_003281.10,3040846,3042846,-
WBGene00000917,NC_003279.8,330604,332604,+
WBGene00000936,NC_003283.11,6756135,6758135,+
WBGene00000955,NC_003283.11,11421705,11423705,-
WBGene00000974,NC_003281.10,10642865,10644865,-
WBGene00000993,NC_003284.9,17235838,17237838,-
WBGene00001031,NC_003280.10,11543701,11545701,+
WBGene00001050,NC_003279.8,5001450,5003450,+
WBGene00001069,NC_003284.9,7537792,7539792,-
WBGene00001088,NC_003283.11,12189519,12191519,+
WBGene00001107,NC_003282.8,11621009,11623009,-
WBGene00001145,NC_003279.8,9720716,9722716,+
WBGene00001164,NC_003284.9,13477456,13479456,-
WBGene00001202,NC_003284.9,10732326,10734326,+
WBGene00001240,NC_003282.8,17467408,17469408,-
WBGene00001259,NC_003281.10,4720670,4722670,-
WBGene00001335,NC_003284.9,3803464,3805464,-
WBGene00001373,NC_003280.10,6161094,6163094,-
WBGene00001392,NC_003281.10,840930,842930,+
WBGene00001411,NC_003282.8,5537962,5539962,-
WBGene00001430,NC_003279.8,3899802,3901802,-
WBGene00001449,NC_003283.11,9469975,9471975,+
WBGene00001468,NC_003284.9,15087397,15089397,+
WBGene00001487,NC_003282.8,10041181,10043181,+
WBGene00001506,NC_003283.11,6575890,6577890,-
WBGene00001544,NC_003280.10,3259354,3261354,-
WBGene00001563,NC_003283.11,7230848,7232848,-
WBGene00001582,NC_003279.8,9735816,9737816,+
WBGene00001601,NC_003279.8,3725027,3727027,+
WBGene00001620,NC_003284.9,3494026,3496026,+
WBGene00001639,NC_003281.10,3493238,3495238,-
WBGene00001677,NC_003279.8,8534527,8536527,-
WBGene00001696,NC_003284.9,7269479,7271479,-
WBGene00001715,NC_003284.9,6450939,6452939,-
WBGene00001734,NC_003281.10,8960293,8962293,+
WBGene00001753,NC_003280.10,10948352,10950352,+
WBGene00001772,NC_003280.10,13611366,13613366,-
WBGene00001791,NC_003279.8,2899325,2901325,+
WBGene00001829,NC_003283.11,6592194,6594194,+
WBGene00001867,NC_003282.8,10559905,10561905,+
WBGene00001886,NC_003280.10,13821581,13823581,-
WBGene00001905,NC_003282.8,8333983,8335983,-
WBGene00001924,NC_003283.11,8847704,8849704,-
WBGene00001943,NC_003281.10,4058743,4060743,-
WBGene00001962,NC_003284.9,557295,559295,-
WBGene00001981,NC_003284.9,11682561,11684561,+
WBGene00002000,NC_003279.8,12064897,12066897,-
WBGene00002019,NC_003283.11,9086131,9088131,+
