Gene,Chromosome (NC_*),Nucleotide Location(start),Nucleotide Location(end),Strand
hsp-16.41,NC_003283.11,1803178,1805178,+
hsp-16.1,NC_003283.11,9087782,9089782,-
hsp-16.2,NC_003283.11,1804957,1806957,-
F44E5.4,NC_003280.10,11759311,11761311,-
hsp-16.48,NC_003283.11,9086131,9088131,+
F44E5.4,NC_003280.10,11759311,11761311,-
C27D6.1,NC_003280.10,5170751,5172751,+
fbxb-22,NC_003281.10,11883754,11885754,-
math-6,NC_003280.10,1884735,1886735,-
F20B6.7,NC_003284.9,4207297,4209297,-
C15B12.3,NC_003284.9,6467562,6469562,-
Y6B3B.2,NC_003279.8,13712298,13714298,+
F28A10.9,NC_003280.10,835270,837270,-
C01B4.2,NC_003283.11,2514553,2516553,+
str-243,NC_003283.11,1520785,1522785,+
hsp-70,NC_003279.8,9322519,9324519,-
C07A9.5,NC_003281.10,9682829,9684829,-
C31G12.3,NC_003283.11,18183210,18185210,+
F07B7.8,NC_003283.11,8846835,8848835,-
clec-142,NC_003280.10,8276678,8278678,+
srh-258,NC_003283.11,15403159,15405159,+
scl-19,NC_003283.11,18729991,18731991,+
Y68A4B.3,NC_003283.11,17242652,17244652,-
clec-20,NC_003280.10,1595237,1597237,-
wrt-7,NC_003283.11,15337505,15339505,-
C04H5.7,NC_003280.10,14535946,14537946,+
fbxb-118,NC_003280.10,4064097,4066097,-
pqn-16,NC_003283.11,9172089,9174089,+
srh-154,NC_003283.11,17437706,17439706,+
lact-4,NC_003280.10,8480478,8482478,-
dnj-12,NC_003279.8,14754904,14756904,+
hsp-1,NC_003282.8,17276959,17278959,+
unc-23,NC_003283.11,8934359,8936359,+
unc-23,NC_003283.11,8934359,8936359,+
dnj-13,NC_003280.10,11543701,11545701,+
dnj-12,NC_003279.8,14754904,14756904,+
dnj-13,NC_003280.10,11543701,11545701,+
F44E5.5,NC_003280.10,11757662,11759662,+
F44E5.4,NC_003280.10,11759311,11761311,-
R11A5.3,NC_003279.8,7863569,7865569,-
hsp-16.2,NC_003283.11,1804957,1806957,-
hsp-16.41,NC_003283.11,1803178,1805178,+
hsp-70,NC_003279.8,9322519,9324519,-
nspe-2,NC_003280.10,12619388,12621388,-
hsp-16.11,NC_003283.11,9088077,9090077,+
hsp-16.1,NC_003283.11,9087782,9089782,-
nspe-1,NC_003280.10,12620864,12622864,-
MTCE.8,NC_001328.1,-405,1595,+
hsp-16.49,NC_003283.11,9089766,9091766,-
hsp-16.48,NC_003283.11,9086131,9088131,+
K02F2.11,NC_003279.8,6833506,6835506,+
F26D10.24,NC_003282.8,17278046,17280046,+
MTCE.7,NC_001328.1,-1102,898,+
ostf-4,NC_003281.10,10318559,10320559,-
21ur-14804,NC_003282.8,15900561,15902561,-
21ur-6528,NC_003282.8,15898986,15900986,+
col-84,NC_003280.10,11866534,11868534,+
Y17D7C.2,NC_003283.11,18719987,18721987,-
C13A2.12,NC_003283.11,7257265,7259265,+
MTCE.17,NC_001328.1,2269,4269,+
21ur-14438,NC_003283.11,9154908,9156908,-
MTCE.27,NC_001328.1,7422,9422,+
rpr-1,NC_003279.8,13461955,13463955,+
21ur-8810,NC_003282.8,15899131,15901131,-
lfor-1,NC_003280.10,14636093,14638093,-
lfor-2,NC_003280.10,14641615,14643615,-
21ur-4739,NC_003282.8,15897893,15899893,+
T06E8.3,NC_003283.11,10043561,10045561,-
nspe-5,NC_003280.10,12626866,12628866,+
unc-23,NC_003283.11,8934359,8936359,+
dnj-13,NC_003280.10,11543701,11545701,+
hsp-1,NC_003282.8,17276959,17278959,+
dnj-12,NC_003279.8,14754904,14756904,+
hsp-16.41,NC_003283.11,1803178,1805178,+
hsp-16.2,NC_003283.11,1804957,1806957,-
hsp-70,NC_003279.8,9322519,9324519,-
R11A5.3,NC_003279.8,7863569,7865569,-
ZC21.10,NC_003281.10,8528072,8530072,+
R107.5,NC_003281.10,9053790,9055790,-
C25F9.2,NC_003283.11,19419471,19421471,+
dct-8,NC_003282.8,3893070,3895070,+
nurf-1,NC_003280.10,14388713,14390713,+
fbxb-72,NC_003283.11,723952,725952,-
Y71G12B.18,NC_003279.8,1650876,1652876,+
scp-1,NC_003280.10,9332014,9334014,+
F53A9.2,NC_003284.9,8707764,8709764,+
tts-1,NC_003284.9,1504841,1506841,-
Y43F8B.2,NC_003283.11,19533110,19535110,-
dpy-17,NC_003281.10,5105330,5107330,+
Y38H6C.8,NC_003283.11,20511961,20513961,+
col-106,NC_003282.8,1460786,1462786,-
bath-34,NC_003279.8,12748036,12750036,+
mtl-1,NC_003283.11,6691863,6693863,-
nspc-12,NC_003284.9,12356681,12358681,-
R05D7.2,NC_003279.8,12163409,12165409,+
D2045.5,NC_003281.10,10469624,10471624,-
ugt-14,NC_003283.11,4904253,4906253,+
C30E1.9,NC_003284.9,16927914,16929914,+
C01G12.14,NC_003280.10,14569840,14571840,+
C09B8.12,NC_003284.9,6038587,6040587,+
C11G10.11,NC_003284.9,15158977,15160977,-
C15H7.8,NC_003281.10,9635514,9637514,+
C16A3.15,NC_003281.10,6373045,6375045,+
C17H12.34,NC_003282.8,6783415,6785415,+
C25E10.14,NC_003283.11,9060881,9062881,+
unc-23,NC_003283.11,8934359,8936359,+
dnj-13,NC_003280.10,11543701,11545701,+
hsp-1,NC_003282.8,17276959,17278959,+
dnj-12,NC_003279.8,14754904,14756904,+
